date,name,address,icon,userComment,rating,tags,photos
"2024-11-10T02:00:12.462Z","Vega Pizzeria","419 Cortland Ave, San Francisco, CA  94110, United States","restaurant","","4","Already tried#California#Cheese#Pizza#Restaurant#Tasty!#Wine#Italian",""
"2024-10-12T21:11:37.938Z","Locanda Amalfi","349 Main St, Pleasanton, CA 94566-6663, United States","restaurant","","4","Already tried#Bar#California#Cocktails#Pizza#Restaurant#Italian#Terrace",""
"2024-09-28T17:31:07.621Z","Sweet Maple","150 University Ave, Palo Alto, CA  94301, United States","restaurant","","5","California#Burger#Brunch#Bar#Already tried#Chic#Cocktails#Coffee#Restaurant#Tasty!#Terrace",""
"2024-09-07T16:56:07.554Z","Jim Beam","526 Happy Hollow Rd, Clermont, KY  40110, United States","generic","","5","Whisky",""
"2024-09-07T16:55:26.935Z","Maker's Mark Distillery","6200 Dutchmans Ln, Louisville, KY 40205-3269, United States","beer","","5","Whisky",""
"2024-09-07T16:54:47.434Z","Makers Mark Distillery","100 Mallard Creek Rd, Louisville, KY  40207, United States","generic","","5","Bar#Cocktails#Whisky",""
"2024-09-07T16:54:12.155Z","Big Bad Breakfast","5050 Norton Healthcare Blvd, Louisville, KY  40241, United States","restaurant","","3.5","Bar#Already tried#Brunch#Burger#Cocktails#Coffee#Restaurant#Tasty!#Terrace",""
"2024-08-21T17:44:24.966Z","The Kettle","1138 Highland Ave, Manhattan Beach, CA  90266, United States","restaurant","","3.5","Bar#Burger#California#Already tried#Restaurant#Tasty!#Terrace#With a view#Brunch",""
"2024-08-20T03:41:15.232Z","Laughing Monk Brewing","1439 Egbert Ave, San Francisco, CA 94124, United States","generic","","3","Bar",""
"2024-08-18T19:44:20.714Z","The Better Man Distilling Company","161 River Ave, Patchogue, NY  11772, United States","generic","","3.5","Already tried#Bar",""
"2024-08-18T14:52:27.761Z","Sant Ambroeus","66 Newtown Ln, East Hampton, NY  11937, United States","restaurant","","4","California#Already tried#Cocktails#Restaurant#Tasty!#Chic#Coffee",""
"2024-08-18T14:46:03.115Z","1770 House","143 Main St, East Hampton, NY 11975, United States","lodging","","5","Already tried#Bar#Brunch#Chic#Cocktails#Beers#Restaurant#Terrace#Wine#Tasty!",""
"2024-08-17T16:44:28.204Z","Inlet Seafood Restaurant","541 E Lake Dr, Montauk, NY 11954, United States","restaurant","","5","Already tried#Bar#Beers#Brunch#Cocktails#Restaurant#Sushi#Terrace#With a view",""
"2024-08-14T04:09:29.017Z","Huerfana Cerveceria","Boulevard Venustiano Carranza 402–7046, Los Rodríguez, 25207 Saltillo, Coah., Mexico","nightclub","","","Bar#Beers",""
"2024-08-10T19:17:59.956Z","Local Union 271","271 University Ave, Palo Alto, CA  94301, United States","restaurant","","4","Already tried#Bar#Brunch#California#Burger#Cocktails#Coffee#Meat#Mexico#Restaurant#Terrace",""
"2024-07-28T19:42:28.844Z","Bloom Eatery & Spirits","202 Saratoga Ave, Santa Clara, CA 95050, United States","restaurant","","4","Burger#Bar#Already tried#California#Cocktails#Coffee#Brunch#Restaurant#Tasty!#Terrace",""
"2024-07-22T02:34:11.536Z","Pizzetta 211","211 23rd Avenue, San Francisco, CA 94121, United States","restaurant","","3.5","Already tried#California#Cheese#Pizza#Tasty!#Restaurant",""
"2024-07-20T18:43:22.562Z","Acme Feed & Seed","101 Broadway, Nashville, TN  37201, United States","nightclub","","3.5","Already tried#Afterwork#Bar#Burger#Brunch#Beers#Cocktails#With a view#Music#Restaurant",""
"2024-07-20T18:17:13.075Z","Luke's 32 Bridge","301 Broadway, Nashville, TN  37201, United States","restaurant","","3.5","Already tried#Bar#Burger#Cocktails#Restaurant#Tapas#With a view#Music",""
"2024-07-20T12:52:14.249Z","Another Broken Egg Cafe","208 Commerce St, Nashville, TN  37201, United States","restaurant","","3.5","Bar#Brunch#Already tried#Cocktails#Tasty!#Restaurant#Whisky",""
"2024-06-17T23:24:58.194Z","Bayleaf Indian Restaurant","5024 Spedale Ct, Spring Hill, TN 37174, United States","restaurant","","4.5","Already tried#Restaurant#Tasty!#Indian",""
"2024-06-11T01:06:58.666Z","Cracker Barrel Old Country Store","1534 Bear Creek Pike, Columbia, TN 38401-7650, United States","restaurant","","3","Already tried#Burger#Beers#Cocktails#Coffee#Meat#Restaurant#Tasty!",""
"2024-06-08T19:18:39.298Z","Babette","2033 San Pablo Ave, Berkeley, CA, United States","generic","","3.5","Bar#Already tried#Brunch#California#Coffee#Restaurant#Terrace",""
"2024-05-28T13:26:20.060Z","Shake Shack Atlantis","Paradise Island, Nassau, Bahamas","restaurant","","5","Bar#Brunch#Burger#Already tried#Restaurant#Tasty!#With a view#Terrace#Cocktails",""
"2024-05-28T02:12:20.093Z","Nobu","One Casino Drive","restaurant","","4.5","Cocktails#Chic#Restaurant#Tasty!#With a view#Sushi#Tapas",""
"2024-05-27T19:48:22.662Z","The Ocean Club Four Seasons Resort","One and Only Ocean Club, Nassau, Bahamas","lodging","","","To try#Bar#With a view",""
"2024-05-27T19:47:50.628Z","The Royal-Atlantis","Nassau, Bahamas","lodging","","4.5","Hotel#Tasty!#Terrace#With a view",""
"2024-05-26T23:20:41.282Z","Graycliff Restaurant","West Hill Street, Nassau, Bahamas","restaurant","","5","Already tried#Bar#Cocktails#Hotel#Restaurant#Tasty!#With a view#Wine#Whisky#Terrace",""
"2024-05-26T02:38:20.013Z","Paranza","Paradise Island, Nassau, Bahamas","restaurant","","3.5","Already tried#Chic#Italian#Tasty!#Restaurant#With a view",""
"2024-05-19T16:18:48.277Z","RIVO","May-Ayim-Ufer 9, 10997 Berlin, Germany","restaurant","","4.5","Bar#Beers#Brunch#Restaurant#Tasty!#With a view#Wine#Terrace",""
"2024-05-19T16:18:05.730Z","Alex","Rathausstraße 19, 10178 Berlin, Deutschland","restaurant","","3.5","Bar#Beers#Restaurant#Meat#With a view#Terrace",""
"2024-03-31T01:05:02.327Z","Pausa Bar & Cookery","223 E Fourth Ave, San Mateo, CA  94401, United States","restaurant","","4","Already tried#Bar#Cheese#Charcuterie#Chic#Cocktails#California#Restaurant#Tasty!#Italian#Pizza",""
"2024-03-02T19:06:39.867Z","Bloody Mary's","Polynésie française","restaurant","","","To try#Restaurant",""
"2024-03-02T19:06:06.318Z","Bora Bora Yacht Club","BP 123 Nunue, Vaitāpē 98730, Polynésie française","restaurant","","","To try#Bar",""
"2024-03-02T19:05:50.509Z","Pearl Beach Resort","Leeward Islands, Polynésie française","lodging","","","To try#Hotel",""
"2024-02-22T12:53:13.830Z","Les Brassins","Rue Keyenveld 36, 1050 Ixelles, Belgium","restaurant","","4","Already tried#Beers#Friend#Restaurant#Tasty!#Terrace",""
"2024-02-16T00:41:22.609Z","ONE65","165 O'Farrell St, San Francisco, CA  94102, United States","cafe","","5","Already tried#Bar#Brunch#Restaurant#Meat#Tasty!#Wine",""
"2024-01-28T02:55:22.700Z","Joya Restaurant & Lounge","339 University Ave, Palo Alto, CA  94301, United States","restaurant","","3.5","California#Burger#Cocktails#Bar#Restaurant#Tasty!#Wine",""
"2023-12-31T21:24:01.538Z","Cafe Colibrí","50309 Tamarindo, Costa Rica","cafe","","3.5","Already tried",""
"2023-12-30T23:33:07.613Z","Koora Monteverde-a Cloud Forest Hotel by Sandglass","Avenida 0A, Costa Rica","lodging","","5","Hotel#Bar#Cocktails#Tasty!#With a view#Terrace",""
"2023-12-30T02:12:25.410Z","Pollo Fortuneño","Vía 142, Fortuna, Costa Rica","restaurant","","3.5","Bar#Burger#Already tried#Cocktails#Restaurant#Meat#Tasty!#Tapas",""
"2023-12-29T21:58:10.156Z","Baldi Hot Springs Hotel & Spa","142, La fortuna, Costa Rica","lodging","","5","Bar#Cocktails#Hotel#Restaurant#With a view#Terrace",""
"2023-12-28T20:31:01.896Z","Hacienda Alsacia Starbucks Coffee Farm","20106 San Isidro, Costa Rica","business","","3.5","Cocktails#Bar#Coffee",""
"2023-12-28T01:18:22.347Z","Morpho Beach Bar","Calle Playa Espadilla, Aguirre, Costa Rica","generic","","3.5","Already tried#Bar#Brunch#Burger#Chic#Cocktails#Restaurant#Tasty!#Tapas#Terrace#Whisky#Wine#With a view",""
"2023-12-27T21:12:18.785Z","Soda Sánchez","Avenida Central, Quepos, Costa Rica","restaurant","","3.5","Bar#Brunch#Cocktails#Restaurant#Tasty!#Tapas",""
"2023-12-27T03:52:42.659Z","Sobremesa","Av. 1A, San José, Costa Rica","restaurant","","","To try#Brunch#Restaurant#Tasty!",""
"2023-12-27T03:52:00.982Z","Salt Traders","San José, Santa Ana, Costa Rica","cafe","","","To try#Cocktails#Shopping#Restaurant",""
"2023-12-27T03:51:36.610Z","Hamburguesía Avenida Escazú","Avenida 30, Avenida Escazú Local #8, San José, San Rafael, Costa Rica","fastfood","","","To try#Burger",""
"2023-12-27T03:50:50.860Z","Green Room","Puntarenas Province, Jaco, Costa Rica","restaurant","","","To try#Cocktails#Restaurant",""
"2023-12-27T03:48:22.870Z","Nayara Tented Camp","Arenal Volcano National Park, Provincia de Alajuela, San Carlos, Costa Rica","lodging","","","To try#Hotel",""
"2023-12-27T03:47:55.323Z","Oxygen Jungle Villas","Puntarenas, Costa Rica","lodging","","","To try#Hotel",""
"2023-12-27T01:58:09.234Z","El Avión","Manuel Antonio, 0078 Quepos, Costa Rica","generic","","3.5","Bar#Burger#Beers#Cocktails#Restaurant#Tasty!#Terrace#Tasty!#With a view",""
